,clustering_coef,degree_centrality,closeness_centrality,betweenness_centrality
203597,0,0.00031347962382445143,0.00031347962382445143,0.0
207726,0,0.00031347962382445143,0.00031347962382445143,0.0
207728,0,0.00031347962382445143,0.00031347962382445143,0.0
664885,0,0.00031347962382445143,0.00031347962382445143,0.0
664886,0,0.00031347962382445143,0.00031347962382445143,0.0
104266,0,0.00031347962382445143,0.00031347962382445143,0.0
104267,0,0.00031347962382445143,0.00031347962382445143,0.0
104681,0,0.00031347962382445143,0.00031347962382445143,0.0
104682,0,0.00031347962382445143,0.00031347962382445143,0.0
122911,0,0.00031347962382445143,0.00031347962382445143,0.0
122915,0,0.00031347962382445143,0.00031347962382445143,0.0
192479,0,0.00031347962382445143,0.00031347962382445143,0.0
192505,0,0.00031347962382445143,0.00031347962382445143,0.0
172181,0,0.00031347962382445143,0.00031347962382445143,0.0
172189,0,0.00031347962382445143,0.00031347962382445143,0.0
172145,0,0.00031347962382445143,0.00031347962382445143,0.0
172146,0,0.00031347962382445143,0.00031347962382445143,0.0
172198,0,0.00031347962382445143,0.00031347962382445143,0.0
172329,0,0.00031347962382445143,0.00031347962382445143,0.0
172216,0,0.00031347962382445143,0.00031347962382445143,0.0
172217,0,0.00031347962382445143,0.00031347962382445143,0.0
172894,0,0.00031347962382445143,0.00031347962382445143,0.0
172897,0,0.00031347962382445143,0.00031347962382445143,0.0
361713,0,0.00031347962382445143,0.00031347962382445143,0.0
361715,0,0.00031347962382445143,0.00031347962382445143,0.0
170238,0,0.00031347962382445143,0.00031347962382445143,0.0
662322,0,0.00031347962382445143,0.00031347962382445143,0.0
170039,0,0.00031347962382445143,0.00031347962382445143,0.0
170400,0,0.00031347962382445143,0.00031347962382445143,0.0
170260,0,0.00031347962382445143,0.00031347962382445143,0.0
662325,0,0.00031347962382445143,0.00031347962382445143,0.0
170769,0,0.00031347962382445143,0.00031347962382445143,0.0
662377,0,0.00031347962382445143,0.00031347962382445143,0.0
170693,0,0.00031347962382445143,0.00031347962382445143,0.0
662371,0,0.00031347962382445143,0.00031347962382445143,0.0
171117,0,0.00031347962382445143,0.00031347962382445143,0.0
171118,0,0.00031347962382445143,0.00031347962382445143,0.0
171455,0,0.00031347962382445143,0.00031347962382445143,0.0
171456,0,0.00031347962382445143,0.00031347962382445143,0.0
662567,0,0.00031347962382445143,0.00031347962382445143,0.0
662581,0,0.00031347962382445143,0.00031347962382445143,0.0
171463,0,0.00031347962382445143,0.00031347962382445143,0.0
171464,0,0.00031347962382445143,0.00031347962382445143,0.0
171159,0,0.00031347962382445143,0.00031347962382445143,0.0
171160,0,0.00031347962382445143,0.00031347962382445143,0.0
18313,0,0.00031347962382445143,0.00031347962382445143,0.0
160252,0,0.00031347962382445143,0.00031347962382445143,0.0
172452,0,0.00031347962382445143,0.00031347962382445143,0.0
172454,0,0.00031347962382445143,0.00031347962382445143,0.0
172441,0,0.00031347962382445143,0.00031347962382445143,0.0
172444,0,0.00031347962382445143,0.00031347962382445143,0.0
161000,0,0.00031347962382445143,0.00031347962382445143,0.0
161001,0,0.00031347962382445143,0.00031347962382445143,0.0
160967,0,0.00031347962382445143,0.00031347962382445143,0.0
160999,0,0.00031347962382445143,0.00031347962382445143,0.0
161126,0,0.00031347962382445143,0.00031347962382445143,0.0
161130,0,0.00031347962382445143,0.00031347962382445143,0.0
165321,0,0.00031347962382445143,0.00031347962382445143,0.0
