,Adipocyte,B cell,Dendritic cell,Endothelial cell,Epithelial cell,Fibroblast,M1 Macrophage,M2 Macrophage,Malignant cell,Mast cell,Megakaryocyte,NK cell,Pan-Myeloid,Pericyte,Plasmacytoid dendritic cell,T cell,Total_Cell_Types
PTGS2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PTPRC,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
RGS5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
RORC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SDC1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SELP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SIGLEC3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SLFN11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SLPI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
STAT1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
STAT6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
TAGLN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
TBX21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
TCF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TCF7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TEK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
TGFB1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
THY1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
TIGIT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
TNF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
TP53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TP63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
TWIST1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
VCAM1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
VEGFA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
VIM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
VWF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
XBP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
